#node	date	numeric date
NODE_0000195	2014-04-01	2014.250314
NODE_0000152	2014-05-05	2014.344643
KM034562_Kailahun_2014-05-28	2014-05-28	2014.405202
NODE_0000307	2014-05-11	2014.359818
KM034563_Kailahun_2014-05-28	2014-05-28	2014.405202
NODE_0000308	2014-05-11	2014.359823
KM034559_Kailahun_2014-05-28	2014-05-28	2014.405202
NODE_0000309	2014-05-11	2014.361046
KM034561_Kailahun_2014-05-28	2014-05-28	2014.405202
NODE_0000196	2014-05-24	2014.394474
KR817229_Kailahun_2014-06-15	2014-06-15	2014.454483
NODE_0000197	2014-05-25	2014.396988
KM034550_Kailahun_2014-05-25	2014-05-25	2014.396988
NODE_0000198	2014-05-27	2014.402464
KM034554_Kailahun_2014-05-27	2014-05-27	2014.402464
NODE_0000199	2014-06-13	2014.449008
KR817227_Kailahun_2014-06-13	2014-06-13	2014.449008
KR817236_Kailahun_2014-06-24	2014-06-24	2014.479124
NODE_0000151	2014-05-03	2014.338465
KM034553_Kailahun_2014-05-27	2014-05-27	2014.402464
NODE_0000167	2014-06-18	2014.464855
KR105255_Kenema_2014-07-20	2014-07-20	2014.550308
KR105256_Kenema_2014-07-21	2014-07-21	2014.553046
NODE_0000178	2014-05-26	2014.399726
KM034551_Kailahun_2014-05-26	2014-05-26	2014.399726
KM034558_Kailahun_2014-05-28	2014-05-28	2014.405202
NODE_0000310	2014-05-10	2014.356503
KM233065_Kailahun_2014-06-12	2014-06-12	2014.446270
NODE_0000311	2014-05-11	2014.359491
NODE_0000163	2014-06-13	2014.449265
KR817238_Kailahun_2014-06-26	2014-06-26	2014.484600
NODE_0000200	2014-06-14	2014.451745
KM233103_Kailahun_2014-06-16	2014-06-16	2014.457221
KM233074_Kailahun_2014-06-14	2014-06-14	2014.451745
NODE_0000312	2014-05-13	2014.364715
KM233087_Kailahun_2014-06-15	2014-06-15	2014.454483
NODE_0000313	2014-05-18	2014.379527
KR105219_Unk_2014-07-09	2014-07-09	2014.520192
NODE_0000314	2014-05-18	2014.379587
KM233043_Kailahun_2014-06-03	2014-06-03	2014.421629
NODE_0000315	2014-05-18	2014.379717
KM233044_Kailahun_2014-06-04	2014-06-04	2014.424367
NODE_0000201	2014-05-22	2014.388949
KM233075_Kailahun_2014-06-14	2014-06-14	2014.451745
NODE_0000202	2014-05-23	2014.391759
KM233097_Kailahun_2014-06-15	2014-06-15	2014.454483
NODE_0000203	2014-05-24	2014.394624
KM233080_Kailahun_2014-06-15	2014-06-15	2014.454483
NODE_0000204	2014-05-25	2014.397151
NODE_0000205	2014-05-26	2014.399726
KM034552_Kailahun_2014-05-26	2014-05-26	2014.399726
KM034556_Kailahun_2014-05-26	2014-05-26	2014.399726
NODE_0000206	2014-05-28	2014.405202
KM034560_Kailahun_2014-05-28	2014-05-28	2014.405202
NODE_0000207	2014-06-06	2014.430006
NODE_0000208	2014-06-07	2014.432580
KM233055_Kailahun_2014-06-07	2014-06-07	2014.432580
KM233054_Kailahun_2014-06-07	2014-06-07	2014.432580
NODE_0000209	2014-06-10	2014.440957
NODE_0000210	2014-06-11	2014.443532
KM233062_Kailahun_2014-06-11	2014-06-11	2014.443532
NODE_0000211	2014-06-13	2014.449171
NODE_0000212	2014-06-14	2014.451745
KM233072_Kailahun_2014-06-14	2014-06-14	2014.451745
KR817228_Kailahun_2014-06-14	2014-06-14	2014.451745
NODE_0000213	2014-06-14	2014.451745
KM233073_Kailahun_2014-06-14	2014-06-14	2014.451745
NODE_0000214	2014-06-17	2014.459959
KM233107_Bo_2014-06-17	2014-06-17	2014.459959
KM233105_Kailahun_2014-06-17	2014-06-17	2014.459959
NODE_0000215	2014-06-13	2014.449206
NODE_0000216	2014-06-14	2014.451908
NODE_0000217	2014-06-15	2014.454483
KM233081_Kailahun_2014-06-15	2014-06-15	2014.454483
KM233077_Kailahun_2014-06-15	2014-06-15	2014.454483
NODE_0000218	2014-06-15	2014.454483
KM233084_Kailahun_2014-06-15	2014-06-15	2014.454483
KM233094_Kailahun_2014-06-15	2014-06-15	2014.454483
NODE_0000219	2014-06-14	2014.451908
NODE_0000220	2014-06-16	2014.457221
KR105212_Unk_2014-06-24	2014-06-24	2014.479124
KR105200_Kailahun_2014-06-16	2014-06-16	2014.457221
NODE_0000221	2014-06-15	2014.454483
KM233078_Kailahun_2014-06-15	2014-06-15	2014.454483
KM233085_Kailahun_2014-06-15	2014-06-15	2014.454483
NODE_0000054	2014-05-13	2014.366035
KM233109_Kailahun_2014-06-18	2014-06-18	2014.462697
KM233092_Kailahun_2014-06-15	2014-06-15	2014.454483
KM233091_Kailahun_2014-06-15	2014-06-15	2014.454483
KM233035_Kailahun_2014-06-02	2014-06-02	2014.418891
KR105216_Kailahun_2014-07-07	2014-07-07	2014.514716
KR105203_Kenema_2014-06-17	2014-06-17	2014.459959
KR105211_Kailahun_2014-06-25	2014-06-25	2014.481862
NODE_0000150	2014-06-03	2014.421629
KM233042_Kailahun_2014-06-03	2014-06-03	2014.421629
KM233069_Kailahun_2014-06-12	2014-06-12	2014.446270
NODE_0000124	2014-05-29	2014.410630
KR105247_Kenema_2014-07-18	2014-07-18	2014.544832
NODE_0000129	2014-07-18	2014.544832
KR653267_Tonkolili_2014-08-23	2014-08-23	2014.643395
KR105246_Kono_2014-07-18	2014-07-18	2014.544832
NODE_0000316	2014-06-01	2014.416848
NODE_0000132	2014-06-18	2014.464293
KR105233_Kenema_2014-07-14	2014-07-14	2014.533881
NODE_0000224	2014-07-14	2014.533881
KR105234_Kenema_2014-07-14	2014-07-14	2014.533881
NODE_0000225	2014-08-03	2014.588638
KR105265_Kenema_2014-08-03	2014-08-03	2014.588638
KR105264_Kenema_2014-08-03	2014-08-03	2014.588638
NODE_0000226	2014-06-14	2014.454428
NODE_0000227	2014-06-15	2014.457206
KR105231_Kenema_2014-07-13	2014-07-13	2014.531143
NODE_0000228	2014-06-17	2014.459967
KR105245_Kenema_2014-07-16	2014-07-16	2014.539357
NODE_0000229	2014-06-18	2014.462697
KR105239_Kenema_2014-07-18	2014-07-18	2014.544832
KM233113_Kenema_2014-06-18	2014-06-18	2014.462697
NODE_0000135	2014-07-03	2014.503832
NODE_0000136	2014-07-12	2014.530700
KR105242_Kenema_2014-07-14	2014-07-14	2014.533881
KR105250_Kenema_2014-07-19	2014-07-19	2014.547570
NODE_0000140	2014-07-15	2014.536619
KR105243_Kenema_2014-07-15	2014-07-15	2014.536619
KR105272_Kenema_2014-08-09	2014-08-09	2014.605065
NODE_0000230	2014-07-12	2014.528405
KR105230_PortLoko_2014-07-12	2014-07-12	2014.528405
NODE_0000231	2014-07-24	2014.562922
KR105273_Kenema_2014-08-10	2014-08-10	2014.607803
NODE_0000232	2014-07-26	2014.568396
KR105279_Moyamba_2014-08-12	2014-08-12	2014.613279
NODE_0000233	2014-08-08	2014.603989
KP184503_Kenema_2014-08-25	2014-08-25	2014.648871
NODE_0000234	2014-08-10	2014.607974
NODE_0000235	2014-08-12	2014.613279
KR105277_Kenema_2014-08-12	2014-08-12	2014.613279
NODE_0000236	2014-08-13	2014.616016
KR105280_Kenema_2014-08-13	2014-08-13	2014.616016
KR105278_Kenema_2014-08-13	2014-08-13	2014.616016
NODE_0000237	2014-08-11	2014.610541
KR105276_Kenema_2014-08-11	2014-08-11	2014.610541
NODE_0000238	2014-08-13	2014.616180
KR653251_Kenema_2014-08-22	2014-08-22	2014.640657
NODE_0000239	2014-08-14	2014.618754
KR105284_Kenema_2014-08-14	2014-08-14	2014.618754
KR105283_Kenema_2014-08-14	2014-08-14	2014.618754
